	Sentence	Relation_gold	Head_gold
10	Las palabras de Antonio Álvarez hacen presagiar que el club sevillista esta peinando el mercado en busca de un mediocentro que le pueda ayudar al equipo a defender y distribuir el juego. 	['det', 'nsubj', 'adpmod', 'compmod', 'adpobj', 'ROOT', 'xcomp', 'mark', 'det', 'nsubj', 'amod', 'aux', 'ccomp', 'det', 'obj', 'adpmod', 'adpobj', 'adpmod', 'det', 'adpobj', 'nsubj', 'obj', 'aux', 'rcmod', 'adp', 'obj', 'adpmod', 'acl', 'cc', 'conj', 'det', 'obj', 'punct']	['palabras', 'hacen', 'palabras', 'Álvarez', 'de', '.', 'hacen', 'peinando', 'club', 'peinando', 'club', 'peinando', 'presagiar', 'mercado', 'peinando', 'peinando', 'en', 'busca', 'mediocentro', 'de', 'ayudar', 'ayudar', 'ayudar', 'mediocentro', 'equipo', 'ayudar', 'ayudar', 'a', 'defender', 'defender', 'juego', 'distribuir', 'hacen']
11	Representantes de los diversos Consejos Comunales de Altagracia de Orituco, así como los beneficiarios de estos nuevos aportes, expresaron su agradecimiento al Gobernador( E) Arturo Suarez, a la fundación Patria Socialista ya Wilmer Álvarez presidente de Encomuna por las ayudas que recibieron, y que significan un aliciente para mejorar la calidad de vida de cada una de estas Familias. 	['nsubj', 'adpmod', 'det', 'amod', 'adpobj', 'amod', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'punct', 'mwe', 'cc', 'det', 'conj', 'adpmod', 'det', 'amod', 'adpobj', 'punct', 'ROOT', 'det', 'obj', 'adp', 'obj', 'punct', 'compmod', 'punct', 'compmod', 'appos', 'punct', 'adp', 'det', 'conj', 'appos', 'amod', 'cc', 'compmod', 'conj', 'appos', 'adpmod', 'adpobj', 'adpmod', 'det', 'adpobj', 'rel', 'rcmod', 'punct', 'cc', 'nsubj', 'conj', 'det', 'obj', 'adpmod', 'acl', 'det', 'obj', 'adpmod', 'adpobj', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct']	['expresaron', 'Representantes', 'Consejos', 'Consejos', 'de', 'Consejos', 'Consejos', 'de', 'Altagracia', 'de', 'beneficiarios', 'como', 'Representantes', 'beneficiarios', 'Representantes', 'beneficiarios', 'aportes', 'aportes', 'de', 'beneficiarios', '.', 'agradecimiento', 'expresaron', 'Gobernador', 'expresaron', 'E', 'Gobernador', 'E', 'Suarez', 'Gobernador', 'Gobernador', 'fundación', 'fundación', 'Gobernador', 'fundación', 'Patria', 'Gobernador', 'Álvarez', 'Gobernador', 'Álvarez', 'presidente', 'de', 'expresaron', 'ayudas', 'por', 'recibieron', 'ayudas', 'expresaron', 'recibieron', 'significan', 'recibieron', 'aliciente', 'significan', 'aliciente', 'para', 'calidad', 'mejorar', 'calidad', 'de', 'calidad', 'una', 'de', 'una', 'Familias', 'de', 'expresaron']
12	Las atletas gracitanas dejaron en la cancha a la representación del Municipio El Socorro, mientras que los deportistas orituquenses hicieron lo mismo al equipo del Municipio Camaguán. 	['det', 'nsubj', 'amod', 'ROOT', 'adpmod', 'det', 'adpobj', 'adp', 'det', 'obj', 'adpmod', 'adpobj', 'det', 'compmod', 'punct', 'mark', 'mwe', 'det', 'nsubj', 'amod', 'advcl', 'det', 'obj', 'adp', 'obj', 'adpmod', 'adpobj', 'compmod', 'punct']	['atletas', 'dejaron', 'atletas', '.', 'dejaron', 'cancha', 'en', 'representación', 'representación', 'dejaron', 'representación', 'del', 'Socorro', 'Municipio', 'dejaron', 'hicieron', 'mientras', 'deportistas', 'hicieron', 'deportistas', 'dejaron', 'mismo', 'hicieron', 'equipo', 'hicieron', 'equipo', 'del', 'Municipio', 'dejaron']
13	Esa fue la base con la que se creó la Subzona 14 en La Pampa. 	['nsubj', 'ROOT', 'det', 'attr', 'rel', 'det', 'adpobj', 'prt', 'rcmod', 'det', 'nsubj', 'num', 'adpmod', 'det', 'adpobj', 'punct']	['fue', '.', 'base', 'fue', 'creó', 'que', 'con', 'creó', 'base', 'Subzona', 'creó', 'Subzona', 'creó', 'Pampa', 'en', 'fue']
14	Para la delantera suena un joven que despunta en el Bayern Múnich y que puede jugar de ariete o de extremo por ambas bandas. 	['adpmod', 'det', 'adpobj', 'ROOT', 'det', 'nsubj', 'nsubj', 'rcmod', 'adpmod', 'det', 'adpobj', 'compmod', 'cc', 'nsubj', 'aux', 'conj', 'adpmod', 'adpobj', 'cc', 'conj', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct']	['suena', 'delantera', 'Para', '.', 'joven', 'suena', 'despunta', 'joven', 'despunta', 'Bayern', 'en', 'Bayern', 'despunta', 'jugar', 'jugar', 'despunta', 'jugar', 'de', 'de', 'de', 'de', 'extremo', 'bandas', 'por', 'suena']
15	Tampoco faltarán los espectáculos teatrales que tendrán lugar dentro del festival que se celebrará en el Maastricht Drama Academy. 	['advmod', 'ROOT', 'det', 'nsubj', 'amod', 'nsubj', 'rcmod', 'obj', 'adpmod', 'mwe', 'adpobj', 'nsubj', 'prt', 'rcmod', 'adpmod', 'det', 'compmod', 'compmod', 'adpobj', 'punct']	['faltarán', '.', 'espectáculos', 'faltarán', 'espectáculos', 'tendrán', 'espectáculos', 'tendrán', 'tendrán', 'dentro', 'dentro', 'celebrará', 'celebrará', 'festival', 'celebrará', 'Academy', 'Drama', 'Academy', 'en', 'faltarán']
16	"Yo les decía que no me tocaran más y les replicaba, porque quería saber quiénes eran"", afirma con sorprendente frialdad la mujer, bregada en la lucha por los derechos de los extranjeros a través de la Asociación de Latinoamericanos del Garraf. "	['nsubj', 'obj', 'ccomp', 'mark', 'advmod', 'obj', 'ccomp', 'advmod', 'cc', 'obj', 'conj', 'punct', 'mark', 'advcl', 'xcomp', 'nsubj', 'ccomp', 'punct', 'punct', 'ROOT', 'adpmod', 'amod', 'adpobj', 'det', 'nsubj', 'punct', 'partmod', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'mwe', 'adpmod', 'mwe', 'det', 'adpobj', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'punct']	['decía', 'decía', 'afirma', 'tocaran', 'tocaran', 'tocaran', 'decía', 'tocaran', 'decía', 'replicaba', 'decía', 'quería', 'quería', 'decía', 'quería', 'eran', 'saber', 'decía', 'afirma', '.', 'afirma', 'frialdad', 'con', 'mujer', 'afirma', 'bregada', 'mujer', 'bregada', 'lucha', 'en', 'lucha', 'derechos', 'por', 'derechos', 'extranjeros', 'de', 'través', 'lucha', 'través', 'Asociación', 'través', 'Asociación', 'de', 'Asociación', 'del', 'afirma']
17	No jugará en el Camp Nou por estar lesionado, pero aún así, el FC Barcelona no le quita el ojo al camerunés, mediocentro de buen corte que podría ser una alternativa más para la medular tras la complicada salida de Mascherano. 	['advmod', 'ROOT', 'adpmod', 'det', 'adpobj', 'amod', 'adpmod', 'acl', 'acomp', 'punct', 'cc', 'advmod', 'advmod', 'punct', 'det', 'nsubj', 'compmod', 'advmod', 'obj', 'conj', 'det', 'obj', 'adp', 'obj', 'punct', 'appos', 'adpmod', 'amod', 'adpobj', 'nsubj', 'aux', 'rcmod', 'det', 'attr', 'advmod', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'amod', 'adpobj', 'adpmod', 'adpobj', 'punct']	['jugará', '.', 'jugará', 'Camp', 'en', 'Camp', 'jugará', 'por', 'estar', 'jugará', 'jugará', 'así', 'quita', 'jugará', 'FC', 'quita', 'FC', 'quita', 'quita', 'jugará', 'ojo', 'quita', 'camerunés', 'quita', 'mediocentro', 'camerunés', 'mediocentro', 'corte', 'de', 'ser', 'ser', 'mediocentro', 'alternativa', 'ser', 'alternativa', 'alternativa', 'medular', 'para', 'ser', 'salida', 'salida', 'tras', 'salida', 'de', 'jugará']
18	* Tambien podras encontrar nuestro material en Conciertos, Fiestas, Txarlas, Jornadas, etc .. en Euskal Herria. 	['punct', 'advmod', 'aux', 'ROOT', 'det', 'obj', 'adpmod', 'adpobj', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'conj', 'punct', 'adpmod', 'compmod', 'adpobj', 'punct']	['encontrar', 'encontrar', 'encontrar', '.', 'material', 'encontrar', 'encontrar', 'en', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'Conciertos', 'encontrar', 'Herria', 'en', 'encontrar']
19	"Finalmente, escuchemos a Ibsen que a partir de su obra infra señalada, se convierte en un abanderado feminista, y declara como un desafío de su época:"" Existen dos códigos de moral, dos conciencias diferentes, una del hombre y otra de la mujer, y al mujer se le juzga según el código de los hombres .... Una mujer no puede ser auténticamente ella en la sociedad actual- hace 100 años se hizo ese pronunciamiento, y aun se mantienen los mismos preceptos condenatorios --, una sociedad exclusivamente masculina, con leyes exclusivamente masculinas, con jueces y fiscales que la juzgan desde el punto de vista masculino"". "	['advmod', 'punct', 'ROOT', 'adp', 'obj', 'nsubj', 'mwe', 'adpmod', 'mwe', 'det', 'adpobj', 'advmod', 'partmod', 'punct', 'prt', 'rcmod', 'adpmod', 'det', 'adpobj', 'amod', 'punct', 'cc', 'conj', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct', 'punct', 'ccomp', 'num', 'nsubj', 'adpmod', 'adpobj', 'punct', 'num', 'conj', 'amod', 'punct', 'appos', 'adpmod', 'adpobj', 'cc', 'conj', 'adpmod', 'det', 'adpobj', 'punct', 'cc', 'adp', 'obj', 'prt', 'obj', 'conj', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'punct', 'det', 'nsubj', 'advmod', 'aux', 'parataxis', 'advmod', 'attr', 'adpmod', 'det', 'adpobj', 'amod', 'punct', 'advcl', 'num', 'nmod', 'prt', 'parataxis', 'det', 'obj', 'punct', 'cc', 'advmod', 'prt', 'conj', 'det', 'amod', 'nsubj', 'amod', 'punct', 'punct', 'det', 'appos', 'advmod', 'amod', 'punct', 'adpmod', 'adpobj', 'advmod', 'amod', 'punct', 'conj', 'adpobj', 'cc', 'conj', 'nsubj', 'obj', 'rcmod', 'adpmod', 'det', 'adpobj', 'adpmod', 'adpobj', 'amod', 'punct', 'punct']	['escuchemos', 'Finalmente', '.', 'Ibsen', 'escuchemos', 'convierte', 'partir', 'convierte', 'partir', 'obra', 'partir', 'señalada', 'obra', 'partir', 'convierte', 'Ibsen', 'convierte', 'abanderado', 'en', 'abanderado', 'convierte', 'convierte', 'convierte', 'declara', 'desafío', 'como', 'desafío', 'época', 'de', 'declara', 'Existen', 'declara', 'códigos', 'Existen', 'códigos', 'de', 'códigos', 'conciencias', 'códigos', 'conciencias', 'una', 'conciencias', 'una', 'del', 'una', 'una', 'otra', 'mujer', 'de', 'Existen', 'Existen', 'mujer', 'juzga', 'juzga', 'juzga', 'Existen', 'juzga', 'código', 'según', 'código', 'hombres', 'de', 'Existen', 'mujer', 'ser', 'ser', 'ser', 'Existen', 'ella', 'ser', 'ser', 'sociedad', 'en', 'sociedad', 'hizo', 'hizo', 'años', 'hace', 'hizo', 'ser', 'pronunciamiento', 'hizo', 'hizo', 'hizo', 'mantienen', 'mantienen', 'hizo', 'preceptos', 'preceptos', 'mantienen', 'preceptos', 'hizo', 'sociedad', 'sociedad', 'sociedad', 'masculina', 'sociedad', 'sociedad', 'sociedad', 'con', 'masculinas', 'leyes', 'con', 'con', 'con', 'jueces', 'jueces', 'juzgan', 'juzgan', 'jueces', 'juzgan', 'punto', 'desde', 'punto', 'de', 'vista', 'Existen', 'escuchemos']
20	Khedira es de padre tunecino y de madre alemana. 	['nsubj', 'ROOT', 'adpmod', 'adpobj', 'amod', 'cc', 'conj', 'adpobj', 'amod', 'punct']	['es', '.', 'es', 'de', 'padre', 'de', 'de', 'de', 'madre', 'es']
21	Cristiano Ronaldo y Sergio Ramos fueron los más calientes en cuanto a tanganas se refiere. 	['compmod', 'nsubj', 'cc', 'compmod', 'conj', 'ROOT', 'det', 'advmod', 'acomp', 'mwe', 'mark', 'adpmod', 'adpobj', 'prt', 'advcl', 'punct']	['Ronaldo', 'fueron', 'Ronaldo', 'Ramos', 'Ronaldo', '.', 'calientes', 'calientes', 'fueron', 'cuanto', 'refiere', 'refiere', 'a', 'refiere', 'fueron', 'fueron']
22	""" Todas las hembras que viven ahora en el centro tienen una admirable relación con sus crías deshaciéndose en cuidados y atenciones constantes hacia ellas"", asegura Ayose Melian, veterinario de Palmitos Park. "	['punct', 'det', 'det', 'nsubj', 'nsubj', 'rcmod', 'advmod', 'adpmod', 'det', 'adpobj', 'ccomp', 'det', 'amod', 'obj', 'adpmod', 'det', 'adpobj', 'partmod', 'adpmod', 'adpobj', 'cc', 'conj', 'amod', 'adpmod', 'adpobj', 'punct', 'punct', 'ROOT', 'compmod', 'nsubj', 'punct', 'appos', 'adpmod', 'compmod', 'adpobj', 'punct']	['tienen', 'hembras', 'hembras', 'tienen', 'viven', 'hembras', 'viven', 'viven', 'centro', 'en', 'asegura', 'relación', 'relación', 'tienen', 'relación', 'crías', 'con', 'tienen', 'deshaciéndose', 'en', 'cuidados', 'cuidados', 'cuidados', 'cuidados', 'hacia', 'tienen', 'asegura', '.', 'Melian', 'asegura', 'veterinario', 'Melian', 'veterinario', 'Park', 'de', 'asegura']
23	Una vez electos, los referentes de la oposición al Gobierno Radical K, parecieran olvidar este tipo de escandalos y unirse al circulo corrupto del poder. 	['det', 'mark', 'advcl', 'punct', 'det', 'nsubj', 'adpmod', 'det', 'adpobj', 'adpmod', 'adpobj', 'amod', 'appos', 'punct', 'ROOT', 'xcomp', 'det', 'obj', 'adpmod', 'adpobj', 'cc', 'conj', 'adpmod', 'adpobj', 'amod', 'adpmod', 'adpobj', 'punct']	['vez', 'electos', 'parecieran', 'electos', 'referentes', 'parecieran', 'referentes', 'oposición', 'de', 'oposición', 'al', 'Gobierno', 'Gobierno', 'parecieran', '.', 'parecieran', 'tipo', 'olvidar', 'tipo', 'de', 'olvidar', 'olvidar', 'unirse', 'al', 'circulo', 'circulo', 'del', 'parecieran']
24	Se respetan la libertad de los medios de comunicación y su pluralismo. 	['prt', 'ROOT', 'det', 'nsubj', 'adpmod', 'det', 'adpobj', 'adpmod', 'adpobj', 'cc', 'det', 'conj', 'punct']	['respetan', '.', 'libertad', 'respetan', 'libertad', 'medios', 'de', 'medios', 'de', 'libertad', 'pluralismo', 'libertad', 'respetan']
25	El fichaje de Kaká nunca fue fácil, tanto que han pensado que este pueda acabar jugando hasta de Blues, camiseta que se pudo enfundar hace un tiempo y es que ni Abramovich quiere pagarle 40 kilos al Madrid porque le considera caro viendo su estado de forma. 	['det', 'nsubj', 'adpmod', 'adpobj', 'advmod', 'ROOT', 'acomp', 'punct', 'advmod', 'adpmod', 'aux', 'acl', 'mark', 'nsubj', 'aux', 'aux', 'ccomp', 'advmod', 'adpmod', 'adpobj', 'punct', 'appos', 'rel', 'obj', 'aux', 'rcmod', 'advcl', 'det', 'nmod', 'cc', 'conj', 'mark', 'advmod', 'nsubj', 'csubj', 'xcomp', 'num', 'obj', 'adp', 'obj', 'mark', 'obj', 'advcl', 'acomp', 'partmod', 'det', 'obj', 'adpmod', 'adpobj', 'punct']	['fichaje', 'fue', 'fichaje', 'de', 'fue', '.', 'fue', 'tanto', 'fue', 'tanto', 'pensado', 'que', 'jugando', 'jugando', 'acabar', 'jugando', 'pensado', 'de', 'jugando', 'de', 'camiseta', 'Blues', 'enfundar', 'enfundar', 'enfundar', 'camiseta', 'enfundar', 'tiempo', 'hace', 'fue', 'fue', 'quiere', 'Abramovich', 'quiere', 'es', 'quiere', 'kilos', 'pagarle', 'Madrid', 'pagarle', 'considera', 'considera', 'pagarle', 'considera', 'considera', 'estado', 'viendo', 'estado', 'de', 'fue']
26	Lo ha dicho uno de los mejores técnicos del mundo y que dirige a un club el cual busca nuevas estrellas y el talento a veces no se compra, se hace e incluso se nace con el y Messi ha nacido con un don, el de el mejor futbolista del mundo. 	['obj', 'aux', 'ROOT', 'nsubj', 'adpmod', 'det', 'amod', 'adpobj', 'adpmod', 'adpobj', 'cc', 'nsubj', 'conj', 'adp', 'det', 'obj', 'det', 'nsubj', 'rcmod', 'amod', 'obj', 'cc', 'det', 'nsubj', 'adpmod', 'adpobj', 'advmod', 'prt', 'conj', 'punct', 'prt', 'conj', 'cc', 'advmod', 'prt', 'conj', 'adpmod', 'adpobj', 'cc', 'nsubj', 'aux', 'conj', 'adpmod', 'det', 'adpobj', 'punct', 'appos', 'adpmod', 'det', 'amod', 'adpobj', 'adpmod', 'adpobj', 'punct']	['dicho', 'dicho', '.', 'dicho', 'uno', 'técnicos', 'técnicos', 'de', 'técnicos', 'del', 'de', 'dirige', 'de', 'club', 'club', 'dirige', 'cual', 'busca', 'club', 'estrellas', 'busca', 'dicho', 'talento', 'compra', 'compra', 'a', 'compra', 'compra', 'dicho', 'compra', 'hace', 'compra', 'compra', 'nace', 'nace', 'compra', 'nace', 'con', 'dicho', 'nacido', 'nacido', 'dicho', 'nacido', 'don', 'con', 'el', 'don', 'el', 'futbolista', 'futbolista', 'de', 'futbolista', 'del', 'dicho']
27	Se espera que este sea uno de los fichajes que ha pedido José Mourinho. 	['prt', 'ROOT', 'mark', 'nsubj', 'csubj', 'attr', 'adpmod', 'det', 'adpobj', 'rel', 'aux', 'rcmod', 'compmod', 'nsubj', 'punct']	['espera', '.', 'sea', 'sea', 'espera', 'sea', 'uno', 'fichajes', 'de', 'pedido', 'pedido', 'fichajes', 'Mourinho', 'pedido', 'espera']
28	Por eso, esto se profundizara con la ayuda inestimable de todos nosotros. 	['adpmod', 'adpobj', 'punct', 'nsubj', 'prt', 'ROOT', 'adpmod', 'det', 'adpobj', 'amod', 'adpmod', 'det', 'adpobj', 'punct']	['profundizara', 'Por', 'Por', 'profundizara', 'profundizara', '.', 'profundizara', 'ayuda', 'con', 'ayuda', 'ayuda', 'nosotros', 'de', 'profundizara']
29	El gigante de Redmond anuncia que ya ha recibido dinero por nada menos que un millón de sus periféricos para Xbox 360, por lo que a este paso nos atrevemos a decir que Microsoft continuará vendiendo a gusto, a pesar de las molestias que causará la noticia de la publicidad personalizada. 	['det', 'nsubj', 'adpmod', 'adpobj', 'ROOT', 'mark', 'advmod', 'aux', 'ccomp', 'obj', 'adpmod', 'advmod', 'advmod', 'mwe', 'num', 'num', 'adp', 'det', 'adpobj', 'adpmod', 'adpobj', 'num', 'punct', 'adpmod', 'det', 'adpobj', 'adpmod', 'det', 'adpobj', 'prt', 'parataxis', 'adpmod', 'acl', 'mark', 'nsubj', 'aux', 'ccomp', 'adpmod', 'adpobj', 'punct', 'mwe', 'adpmod', 'mwe', 'det', 'adpobj', 'rel', 'rcmod', 'det', 'nsubj', 'adpmod', 'det', 'adpobj', 'amod', 'punct']	['gigante', 'anuncia', 'gigante', 'de', '.', 'recibido', 'recibido', 'recibido', 'anuncia', 'recibido', 'recibido', 'un', 'nada', 'menos', 'millón', 'periféricos', 'millón', 'periféricos', 'por', 'periféricos', 'para', 'Xbox', 'anuncia', 'atrevemos', 'que', 'por', 'atrevemos', 'paso', 'a', 'atrevemos', 'anuncia', 'atrevemos', 'a', 'vendiendo', 'vendiendo', 'vendiendo', 'decir', 'vendiendo', 'a', 'pesar', 'pesar', 'vendiendo', 'pesar', 'molestias', 'pesar', 'causará', 'molestias', 'noticia', 'causará', 'noticia', 'publicidad', 'de', 'publicidad', 'anuncia']
30	Su clase es comparada con la de Zidane, pero no se le parece generalmente porque Zinedine es único en su especie como lo puede ser Messi. 	['det', 'nsubjpass', 'auxpass', 'ROOT', 'adpmod', 'adpobj', 'adpmod', 'adpobj', 'punct', 'cc', 'advmod', 'prt', 'obj', 'conj', 'advmod', 'mark', 'nsubj', 'advcl', 'acomp', 'adpmod', 'det', 'adpobj', 'adpmod', 'attr', 'aux', 'acl', 'nsubj', 'punct']	['clase', 'comparada', 'comparada', '.', 'comparada', 'con', 'la', 'de', 'comparada', 'comparada', 'parece', 'parece', 'parece', 'comparada', 'parece', 'es', 'es', 'parece', 'es', 'único', 'especie', 'en', 'es', 'ser', 'ser', 'como', 'ser', 'comparada']
